# webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants					
#id=1					
#text=I ride my bike to work everyday .					
1-1	I	B-ScrPart_rider	O	_	_
1-2	ride	O	B-ScrEv_ride_bike	_	_
1-3	my	B-ScrPart_rider	O	webanno.custom.Corefchains_	1-1
1-4	bike	B-ScrPart_bicycle	O	_	_
1-5	to	O	O	_	_
1-6	work	O	O	_	_
1-7	everyday	O	O	_	_
1-8	.	O	O	_	_
					
#id=2					
#text=I also ride for pleasure on the weekends .					
2-1	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	1-3
2-2	also	O	O	_	_
2-3	ride	O	B-ScrEv_ride_bike	_	_
2-4	for	O	O	_	_
2-5	pleasure	O	O	_	_
2-6	on	O	O	_	_
2-7	the	O	O	_	_
2-8	weekends	O	O	_	_
2-9	.	O	O	_	_
					
#id=3					
#text=This morning I was pedaling along and all of the sudden I could feel the gritty pavement scraping the rim .					
3-1	This	O	O	_	_
3-2	morning	O	O	_	_
3-3	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	2-1
3-4	was	O	O	_	_
3-5	pedaling	O	B-ScrEv_ride_bike	_	_
3-6	along	O	O	_	_
3-7	and	O	O	_	_
3-8	all	O	O	_	_
3-9	of	O	O	_	_
3-10	the	O	O	_	_
3-11	sudden	O	O	_	_
3-12	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	3-3
3-13	could	O	O	_	_
3-14	feel	O	B-ScrEv_notice_problem	_	_
3-15	the	O	O	_	_
3-16	gritty	O	O	_	_
3-17	pavement	B-NPart	O	_	_
3-18	scraping	O	B-UnrelEv	_	_
3-19	the	O	O	_	_
3-20	rim	B-ScrPart_rim	O	_	_
3-21	.	O	O	_	_
					
#id=4					
#text=I got off the bike and sure enough the front tire was flat .					
4-1	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	3-12
4-2	got	O	B-ScrEv_get_off	_	_
4-3	off	O	O	_	_
4-4	the	O	O	_	_
4-5	bike	B-ScrPart_bicycle	O	webanno.custom.Corefchains_	1-4
4-6	and	O	O	_	_
4-7	sure	O	O	_	_
4-8	enough	O	O	_	_
4-9	the	O	O	_	_
4-10	front	B-ScrPart_tire	O	_	_
4-11	tire	I-ScrPart_tire|B-ScrPart_tire	O	_	_
4-12	was	O	B-UnrelEv	_	_
4-13	flat	O	O	_	_
4-14	.	O	O	_	_
					
#id=5					
#text=Well that is bad but not as bad if the rear tire was flat and I had to take the chain off .					
5-1	Well	O	O	_	_
5-2	that	O	O	_	_
5-3	is	O	B-UnrelEv	_	_
5-4	bad	O	O	_	_
5-5	but	O	O	_	_
5-6	not	O	O	_	_
5-7	as	O	O	_	_
5-8	bad	O	O	_	_
5-9	if	O	O	_	_
5-10	the	O	O	_	_
5-11	rear	B-ScrPart_tire	O	_	_
5-12	tire	I-ScrPart_tire|B-ScrPart_tire	O	_	_
5-13	was	O	B-UnrelEv	_	_
5-14	flat	O	O	_	_
5-15	and	O	O	_	_
5-16	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	4-1
5-17	had	O	O	_	_
5-18	to	O	O	_	_
5-19	take	O	B-ScrEv_take_chain_off	_	_
5-20	the	O	O	_	_
5-21	chain	B-ScrPart_chain	O	_	_
5-22	off	O	O	_	_
5-23	.	O	O	_	_
					
#id=6					
#text=I always carry a spare inner tube and have a pump on the frame of my bike .					
6-1	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	5-16
6-2	always	O	O	_	_
6-3	carry	O	B-UnrelEv	_	_
6-4	a	O	O	_	_
6-5	spare	O	O	_	_
6-6	inner	O	O	_	_
6-7	tube	B-ScrPart_spare_tube	O	_	_
6-8	and	O	O	_	_
6-9	have	O	B-UnrelEv	_	_
6-10	a	O	O	_	_
6-11	pump	B-ScrPart_tool	O	_	_
6-12	on	O	O	_	_
6-13	the	O	O	_	_
6-14	frame	B-NPart	O	_	_
6-15	of	O	O	_	_
6-16	my	B-ScrPart_rider	O	webanno.custom.Corefchains_	6-1
6-17	bike	B-ScrPart_bicycle	O	webanno.custom.Corefchains_	4-5
6-18	.	O	O	_	_
					
#id=7					
#text=This was going to be easy as I have done this many times before .					
7-1	This	O	O	_	_
7-2	was	O	O	_	_
7-3	going	O	O	_	_
7-4	to	O	O	_	_
7-5	be	O	B-UnrelEv	_	_
7-6	easy	O	O	_	_
7-7	as	O	O	_	_
7-8	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	6-16
7-9	have	O	O	_	_
7-10	done	O	B-UnrelEv	_	_
7-11	this	O	O	_	_
7-12	many	O	O	_	_
7-13	times	O	O	_	_
7-14	before	O	O	_	_
7-15	.	O	O	_	_
					
#id=8					
#text=I loosened the lock nuts that hold the front tire in place and pulled the tire from the frame .					
8-1	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	7-8
8-2	loosened	O	B-ScrEv_loose_nut	_	_
8-3	the	O	O	_	_
8-4	lock	B-ScrPart_bicycle_small_detail	O	_	_
8-5	nuts	I-ScrPart_bicycle_small_detail|B-ScrPart_bicycle_small_detail	O	_	_
8-6	that	O	O	_	_
8-7	hold	O	B-UnrelEv	_	_
8-8	the	O	O	_	_
8-9	front	B-ScrPart_tire	O	_	_
8-10	tire	I-ScrPart_tire|B-ScrPart_tire	O	webanno.custom.Corefchains_	4-11
8-11	in	O	O	_	_
8-12	place	O	O	_	_
8-13	and	O	O	_	_
8-14	pulled	O	B-ScrEv_take_tire_off	_	_
8-15	the	O	O	_	_
8-16	tire	B-ScrPart_tire	O	webanno.custom.Corefchains_	8-10
8-17	from	O	O	_	_
8-18	the	O	O	_	_
8-19	frame	B-NPart	O	_	_
8-20	.	O	O	_	_
					
#id=9					
#text=I looked in my bike pack and found the tool that helps take the tire off the rim .					
9-1	I	B-ScrPart_rider	O	webanno.custom.Corefchains_	8-1
9-2	looked	O	B-RelNScrEv	_	_
9-3	in	O	O	_	_
9-4	my	B-ScrPart_rider	O	webanno.custom.Corefchains_	9-1
9-5	bike	B-NPart	O	_	_
9-6	pack	I-NPart|B-NPart	O	_	_
9-7	and	O	O	_	_
9-8	found	O	B-RelNScrEv	_	_
9-9	the	O	O	_	_
9-10	tool	B-ScrPart_tool	O	_	_
9-11	that	O	O	_	_
9-12	helps	O	B-UnrelEv	_	_
