 # webanno.custom.Participants | Participant # webanno.custom.Eventsandparticipants | Event # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Tonight I road on a public bus .
1-1	Tonight	B-ScrPart_time/date	O	_	_	
1-2	I	B-ScrPart_passenger	O	_	_	
1-3	road	O	B-Evoking	_	_	
1-4	on	O	I-Evoking	_	_	
1-5	a	O	I-Evoking	_	_	
1-6	public	O	I-Evoking	_	_	
1-7	bus	B-ScrPart_bus	I-Evoking	_	_	
1-8	.	O	O	_	_	

#id=2
#text=I waited outside of the store near my house for the bus which runs on a schedule .
2-1	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-2	
2-2	waited	O	B-ScrEv_wait	_	_	
2-3	outside	O	O	_	_	
2-4	of	O	O	_	_	
2-5	the	O	O	_	_	
2-6	store	B-NPart	O	_	_	
2-7	near	O	O	_	_	
2-8	my	O	O	_	_	
2-9	house	B-NPart	O	_	_	
2-10	for	O	O	_	_	
2-11	the	O	O	_	_	
2-12	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	1-7	
2-13	which	O	O	_	_	
2-14	runs	O	B-RelNScrEv	_	_	
2-15	on	O	O	_	_	
2-16	a	O	O	_	_	
2-17	schedule	B-ScrPart_time-table	O	_	_	
2-18	.	O	O	_	_	

#id=3
#text=Once the bus came I got on and paid the bus fare .
3-1	Once	O	O	_	_	
3-2	the	O	O	_	_	
3-3	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	2-12	
3-4	came	O	B-ScrEv_bus_comes	_	_	
3-5	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-1	
3-6	got	O	O	_	_	
3-7	on	O	O	_	_	
3-8	and	O	O	_	_	
3-9	paid	O	B-ScrEv_get_ticket	_	_	
3-10	the	O	O	_	_	
3-11	bus	B-MissScrPart	O	_	_	
3-12	fare	I-MissScrPart|B-MissScrPart	O	_	_	
3-13	.	O	O	_	_	

#id=4
#text=After that I took my seat I looked around at all the other people .
4-1	After	O	O	_	_	
4-2	that	O	O	_	_	
4-3	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-5	
4-4	took	O	B-ScrEv_take_seat	_	_	
4-5	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-3	
4-6	seat	O	O	_	_	
4-7	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-5	
4-8	looked	O	B-ScrEv_spend_time_bus|B-ScrEv_spend_time_bus	_	_	
4-9	around	O	I-ScrEv_spend_time_bus	_	_	
4-10	at	O	O	_	_	
4-11	all	O	O	_	_	
4-12	the	O	O	_	_	
4-13	other	O	O	_	_	
