 # webanno.custom.Participants | Participant # webanno.custom.Eventsandparticipants | Event # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My car had recently broke down and I had no mode of transportation , I needed to ride the bus to work everyday now .
1-1	My	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-8	
1-2	car	O	O	_	_	
1-3	had	O	O	_	_	
1-4	recently	O	O	_	_	
1-5	broke	O	B-UnrelEv	_	_	
1-6	down	O	I-UnrelEv	_	_	
1-7	and	O	O	_	_	
1-8	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	1-15	
1-9	had	O	B-UnrelEv	_	_	
1-10	no	O	O	_	_	
1-11	mode	O	O	_	_	
1-12	of	O	O	_	_	
1-13	transportation	O	O	_	_	
1-14	,	O	O	_	_	
1-15	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	2-1	
1-16	needed	O	O	_	_	
1-17	to	O	O	_	_	
1-18	ride	O	B-Evoking	_	_	
1-19	the	O	I-Evoking	_	_	
1-20	bus	B-ScrPart_bus	I-Evoking	webanno.custom.Corefchains_	2-6	
1-21	to	O	O	_	_	
1-22	work	O	O	_	_	
1-23	everyday	O	O	_	_	
1-24	now	O	O	_	_	
1-25	.	O	O	_	_	

#id=2
#text=I had never rode the bus before so it was kind of a daunting experience .
2-1	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-1	
2-2	had	O	O	_	_	
2-3	never	O	O	_	_	
2-4	rode	O	B-Evoking	_	_	
2-5	the	O	I-Evoking	_	_	
2-6	bus	B-ScrPart_bus	I-Evoking	webanno.custom.Corefchains_	3-29	
2-7	before	O	O	_	_	
2-8	so	O	O	_	_	
2-9	it	O	O	_	_	
2-10	was	O	B-UnrelEv	_	_	
2-11	kind	O	O	_	_	
2-12	of	O	O	_	_	
2-13	a	O	O	_	_	
2-14	daunting	O	O	_	_	
2-15	experience	O	O	_	_	
2-16	.	O	O	_	_	

#id=3
#text=I looked up what I needed to do online , the first thing I needed to do was buy a bus pass in order to even ride the bus .
3-1	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-5	
3-2	looked	O	B-UnrelEv	_	_	
3-3	up	O	I-UnrelEv	_	_	
3-4	what	O	O	_	_	
3-5	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	3-14	
3-6	needed	O	O	_	_	
3-7	to	O	O	_	_	
3-8	do	O	B-UnrelEv	_	_	
3-9	online	O	O	_	_	
3-10	,	O	O	_	_	
3-11	the	O	O	_	_	
3-12	first	O	O	_	_	
3-13	thing	O	O	_	_	
3-14	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-8	
3-15	needed	O	O	_	_	
3-16	to	O	O	_	_	
3-17	do	O	B-UnrelEv	_	_	
3-18	was	O	O	_	_	
3-19	buy	O	B-ScrEv_get_ticket	_	_	
3-20	a	O	O	_	_	
3-21	bus	B-ScrPart_card/ticket	O	webanno.custom.Corefchains_	5-11	
3-22	pass	I-ScrPart_card/ticket	O	webanno.custom.Corefchains_	5-11	
3-23	in	O	O	_	_	
3-24	order	O	O	_	_	
3-25	to	O	O	_	_	
3-26	even	O	O	_	_	
3-27	ride	O	B-Evoking	_	_	
3-28	the	O	I-Evoking	_	_	
3-29	bus	B-ScrPart_bus	I-Evoking	webanno.custom.Corefchains_	4-15	
3-30	.	O	O	_	_	

#id=4
#text=After that it was relatively simple , I just had to wait for the bus that would take me nearest to my office building , and board it .
4-1	After	O	O	_	_	
4-2	that	O	O	_	_	
4-3	it	O	O	_	_	
4-4	was	O	B-UnrelEv	_	_	
4-5	relatively	O	O	_	_	
4-6	simple	O	O	_	_	
4-7	,	O	O	_	_	
4-8	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-19	
4-9	just	O	O	_	_	
4-10	had	O	O	_	_	
4-11	to	O	O	_	_	
4-12	wait	O	B-UnrelEv	_	_	
4-13	for	O	I-UnrelEv	_	_	
4-14	the	O	O	_	_	
4-15	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	4-16	
4-16	that	B-ScrPart_bus	O	webanno.custom.Corefchains_	4-28	
4-17	would	O	O	_	_	
4-18	take	O	B-???	_	_	
4-19	me	B-ScrPart_passenger	O	webanno.custom.Corefchains_	4-22	
4-20	nearest	O	O	_	_	
4-21	to	O	O	_	_	
4-22	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-2	
4-23	office	B-ScrPart_destination	O	_	_	
4-24	building	I-ScrPart_destination|B-ScrPart_destination	O	_	_	
4-25	,	O	O	_	_	
4-26	and	O	O	_	_	
4-27	board	O	B-ScrEv_board_bus	_	_	
4-28	it	B-ScrPart_bus	O	webanno.custom.Corefchains_	6-17	
4-29	.	O	O	_	_	

#id=5
#text=Once I was on I just had to scan my pass and pick a seat .
5-1	Once	O	O	_	_	
5-2	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-5	
5-3	was	O	B-ScrEv_board_bus	_	_	
5-4	on	O	I-ScrEv_board_bus	_	_	
5-5	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	5-10	
5-6	just	O	O	_	_	
5-7	had	O	O	_	_	
5-8	to	O	O	_	_	
5-9	scan	O	B-ScrEv_get_ticket	_	_	
5-10	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-3	
5-11	pass	B-ScrPart_card/ticket	O	_	_	
5-12	and	O	O	_	_	
5-13	pick	O	B-ScrEv_find_place	_	_	
5-14	a	O	O	_	_	
5-15	seat	B-ScrPart_seat_in_bus	O	_	_	
5-16	.	O	O	_	_	

#id=6
#text=After that I just waited until I reached my stop and I got off of the bus .
6-1	After	O	O	_	_	
6-2	that	O	O	_	_	
6-3	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-7	
6-4	just	O	O	_	_	
6-5	waited	O	B-MissScrEv	_	_	
6-6	until	O	O	_	_	
6-7	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-9	
6-8	reached	O	B-ScrEv_bus_stops	_	_	
6-9	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	6-12	
6-10	stop	B-ScrPart_bus_stop	O	_	_	
6-11	and	O	O	_	_	
6-12	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-5	
6-13	got	O	B-ScrEv_get_off	_	_	
6-14	off	O	I-ScrEv_get_off	_	_	
6-15	of	O	O	_	_	
6-16	the	O	O	_	_	
6-17	bus	B-ScrPart_bus	O	webanno.custom.Corefchains_	8-3	
6-18	.	O	O	_	_	

#id=7
#text=Once work was over I just did the same thing and got off at the stop as close to my house as possible .
7-1	Once	O	O	_	_	
7-2	work	O	O	_	_	
7-3	was	O	B-UnrelEv	_	_	
7-4	over	O	O	_	_	
7-5	I	B-ScrPart_passenger	O	webanno.custom.Corefchains_	7-20	
7-6	just	O	O	_	_	
7-7	did	O	B-???	_	_	
7-8	the	O	O	_	_	
7-9	same	O	O	_	_	
7-10	thing	B-NPart	O	_	_	
7-11	and	O	O	_	_	
7-12	got	O	B-ScrEv_get_off	_	_	
7-13	off	O	I-ScrEv_get_off	_	_	
7-14	at	O	O	_	_	
7-15	the	O	O	_	_	
7-16	stop	B-ScrPart_bus_stop	O	_	_	
7-17	as	O	O	_	_	
7-18	close	O	O	_	_	
7-19	to	O	O	_	_	
7-20	my	B-ScrPart_passenger	O	webanno.custom.Corefchains_	8-9	
7-21	house	B-ScrPart_destination	O	_	_	
7-22	as	O	O	_	_	
7-23	possible	O	O	_	_	
7-24	.	O	O	_	_	

#id=8
#text=Riding the bus was not as scary as I thought it would be . 
8-1	Riding	O	B-Evoking	_	_	
8-2	the	O	I-Evoking	_	_	
8-3	bus	B-ScrPart_bus	I-Evoking	_	_	
8-4	was	O	B-UnrelEv	_	_	
8-5	not	O	O	_	_	
8-6	as	O	O	_	_	
8-7	scary	O	O	_	_	
8-8	as	O	O	_	_	
8-9	I	B-ScrPart_passenger	O	_	_	
8-10	thought	O	B-UnrelEv	_	_	
8-11	it	O	O	_	_	
8-12	would	O	O	_	_	
8-13	be	O	B-UnrelEv	_	_	
8-14	.	O	O	_	_	

