 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Two weeks ago , I called the beauty salon and made an appointment to get a hair cut .
1-1	Two	O	O	_	_	
1-2	weeks	B-ScrPart_time/date	O	_	_	
1-3	ago	O	O	_	_	
1-4	,	O	O	_	_	
1-5	I	B-ScrPart_customer	O	_	_	
1-6	called	O	B-RelNScrEv	_	_	
1-7	the	O	O	_	_	
1-8	beauty	O	O	_	_	
1-9	salon	B-ScrPart_salon	O	_	_	
1-10	and	O	O	_	_	
1-11	made	O	B-ScrEv_make_appointment	_	_	
1-12	an	O	O	_	_	
1-13	appointment	B-ScrPart_appointment	O	_	_	
1-14	to	O	O	_	_	
1-15	get	O	B-Evoking	_	_	
1-16	a	O	I-Evoking	_	_	
1-17	hair	B-MissScrPart	I-Evoking	_	_	
1-18	cut	I-MissScrPart|B-MissScrPart	I-Evoking	_	_	
1-19	.	O	O	_	_	

#id=2
#text=Today is the day to go get my hair cut , and I was pretty excited .
2-1	Today	B-ScrPart_time/date	O	_	_	
2-2	is	O	B-UnrelEv	_	_	
2-3	the	O	O	_	_	
2-4	day	B-ScrPart_time/date	O	_	_	
2-5	to	O	O	_	_	
2-6	go	O	B-ScrEv_get_salon	_	_	
2-7	get	O	B-Evoking	_	_	
2-8	my	O	I-Evoking	_	_	
2-9	hair	B-ScrPart_hair	I-Evoking	_	_	
2-10	cut	O	I-Evoking	_	_	
2-11	,	O	O	_	_	
2-12	and	O	O	_	_	
2-13	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	1-5	
2-14	was	O	B-UnrelEv	_	_	
2-15	pretty	O	O	_	_	
2-16	excited	O	B-UnrelEv	_	_	
2-17	.	O	O	_	_	

#id=3
#text=I walked in and talked to the receptionist .
3-1	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	2-13	
3-2	walked	O	B-ScrEv_enter|B-ScrEv_enter	_	_	
3-3	in	O	I-ScrEv_enter	_	_	
3-4	and	O	O	_	_	
3-5	talked	O	B-ScrEv_check_in|B-ScrEv_check_in	_	_	
3-6	to	O	I-ScrEv_check_in	_	_	
3-7	the	O	O	_	_	
3-8	receptionist	B-ScrPart_staff	O	_	_	
3-9	.	O	O	_	_	

#id=4
#text=She told me it would be a few minutes , so I went to sit down .
4-1	She	B-ScrPart_staff	O	webanno.custom.Corefchains_	3-8	
4-2	told	O	B-ScrEv_check_in	_	_	
4-3	me	B-ScrPart_customer	O	webanno.custom.Corefchains_	3-1	
4-4	it	O	O	_	_	
4-5	would	O	O	_	_	
4-6	be	O	B-UnrelEv	_	_	
4-7	a	O	O	_	_	
4-8	few	O	O	_	_	
4-9	minutes	B-ScrPart_time/date	O	_	_	
4-10	,	O	O	_	_	
4-11	so	O	O	_	_	
4-12	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	4-3	
4-13	went	O	B-UnrelEv	_	_	
4-14	to	O	O	_	_	
4-15	sit	O	B-MissScrEv|B-MissScrEv	_	_	
4-16	down	O	I-MissScrEv	_	_	
4-17	.	O	O	_	_	

#id=5
