# webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants					
#id=1					
#text=I paid a visit to the library a couple of days ago .					
1-1	I	B-ScrPart_customer	O	_	_
1-2	paid	O	B-ScrEv_get_library	_	_
1-3	a	O	O	_	_
1-4	visit	B-SuppVComp	O	_	_
1-5	to	O	O	_	_
1-6	the	O	O	_	_
1-7	library	B-ScrPart_library	O	_	_
1-8	a	O	O	_	_
1-9	couple	B-NPart	O	_	_
1-10	of	O	O	_	_
1-11	days	B-NPart	O	_	_
1-12	ago	O	O	_	_
1-13	.	O	O	_	_
					
#id=2					
#text=After getting off work at 5pm , I walked over to a library branch a couple of blocks from my home .					
2-1	After	O	O	_	_
2-2	getting	O	B-UnrelEv	_	_
2-3	off	O	O	_	_
2-4	work	O	O	_	_
2-5	at	O	O	_	_
2-6	5:00:00 PM	O	O	_	_
2-7	,	O	O	_	_
2-8	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	1-1
2-9	walked	O	B-ScrEv_get_library	_	_
2-10	over	O	O	_	_
2-11	to	O	O	_	_
2-12	a	O	O	_	_
2-13	library	B-ScrPart_library	O	_	_
2-14	branch	I-ScrPart_library|B-ScrPart_library	O	webanno.custom.Corefchains_	1-7
2-15	a	O	O	_	_
2-16	couple	B-NPart	O	_	_
2-17	of	O	O	_	_
2-18	blocks	B-NPart	O	_	_
2-19	from	O	O	_	_
2-20	my	B-ScrPart_customer	O	webanno.custom.Corefchains_	2-8
2-21	home	B-NPart	O	_	_
2-22	.	O	O	_	_
					
#id=3					
#text=I was looking to borrow a novel that I 'd been meaning to read for some time .					
3-1	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	2-20
3-2	was	O	O	_	_
3-3	looking	O	B-UnrelEv	_	_
3-4	to	O	O	_	_
3-5	borrow	O	B-Evoking	_	_
3-6	a	O	I-Evoking	_	_
3-7	novel	B-ScrPart_book	I-Evoking	_	_
3-8	that	O	O	_	_
3-9	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	3-1
3-10	d	O	O	_	_
3-11	been	O	O	_	_
3-12	meaning	O	B-UnrelEv	_	_
3-13	to	O	O	_	_
3-14	read	O	B-RelNScrEv	_	_
3-15	for	O	O	_	_
3-16	some	O	O	_	_
3-17	time	B-NPart	O	_	_
3-18	.	O	O	_	_
					
#id=4					
#text=I got there at around 6pm .					
4-1	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	3-9
4-2	got	O	B-ScrEv_get_library	_	_
4-3	there	B-ScrPart_library	O	webanno.custom.Corefchains_	2-14
4-4	at	O	O	_	_
4-5	around	O	O	_	_
4-6	6:00:00 PM	B-NPart	O	_	_
4-7	.	O	O	_	_
					
#id=5					
#text=I first logged onto one of the library computers to confirm that the book was still there .					
5-1	I	B-ScrPart_customer	O	webanno.custom.Corefchains_	4-1
5-2	first	O	O	_	_
5-3	logged	O	B-ScrEv_use_computer	_	_
5-4	onto	O	O	_	_
5-5	one	B-ScrPart_institutional_devices	O	group_computers	5-9
5-6	of	O	O	_	_
5-7	the	O	O	_	_
5-8	library	B-ScrPart_institutional_devices	O	_	_
5-9	computers	I-ScrPart_institutional_devices|B-ScrPart_institutional_devices	O	_	_
5-10	to	O	O	_	_
5-11	confirm	O	B-ScrEv_check_catalog	_	_
5-12	that	O	O	_	_
5-13	the	O	O	_	_
5-14	book	B-ScrPart_book	O	webanno.custom.Corefchains_	3-7
5-15	was	O	B-UnrelEv	_	_
5-16	still	O	O	_	_
5-17	there	B-ScrPart_library	O	webanno.custom.Corefchains_	4-3
5-18	.	O	O	_	_
					
#id=6					
#text=After confirming this , I went upstairs to the fiction section , located on the second floor of the library .					
