 # webanno.custom.Events | Events # webanno.custom.Participants | Participant # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Borrowing a book from the library is quite a fun task .
1-1	Borrowing	B-Evoking	O	_	_	
1-2	a	I-Evoking	O	_	_	
1-3	book	I-Evoking	B-ScrPart_book	_	_	
1-4	from	I-Evoking	O	_	_	
1-5	the	I-Evoking	O	_	_	
1-6	library	I-Evoking	B-ScrPart_library	_	_	
1-7	is	B-UnrelEv	O	_	_	
1-8	quite	O	O	_	_	
1-9	a	O	O	_	_	
1-10	fun	O	O	_	_	
1-11	task	O	O	_	_	
1-12	.	O	O	_	_	

#id=2
#text=Make sure you have a library card first .
2-1	Make	B-UnrelEv	O	_	_	
2-2	sure	I-UnrelEv	O	_	_	
2-3	you	O	B-ScrPart_customer	_	_	
2-4	have	B-RelNScrEv	O	_	_	
2-5	a	O	O	_	_	
2-6	library	O	B-ScrPart_library_card	_	_	
2-7	card	O	I-ScrPart_library_card|B-ScrPart_library_card	_	_	
2-8	first	O	O	_	_	
2-9	.	O	O	_	_	

#id=3
#text=If not , you can ask the librarian about how to sign up for one .
3-1	If	O	O	_	_	
3-2	not	O	O	_	_	
3-3	,	O	O	_	_	
3-4	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	2-3	
3-5	can	O	O	_	_	
3-6	ask	B-ScrEv_ask_librarian	O	_	_	
3-7	the	O	O	_	_	
3-8	librarian	O	B-ScrPart_staff	_	_	
3-9	about	O	O	_	_	
3-10	how	O	O	_	_	
3-11	to	O	O	_	_	
3-12	sign	B-RelNScrEv	O	_	_	
3-13	up	I-RelNScrEv	O	_	_	
3-14	for	O	O	_	_	
3-15	one	O	B-ScrPart_library_card	webanno.custom.Corefchains_	2-7	
3-16	.	O	O	_	_	

#id=4
#text=Library cards are usually free .
4-1	Library	O	B-ScrPart_library_card	_	_	
4-2	cards	O	I-ScrPart_library_card|B-ScrPart_library_card	webanno.custom.Corefchains_	3-15	
4-3	are	B-UnrelEv	O	_	_	
4-4	usually	O	O	_	_	
4-5	free	O	O	_	_	
4-6	.	O	O	_	_	

#id=5
#text=Next , you 'll want to find a book that you 'll want to read .
5-1	Next	O	O	_	_	
5-2	,	O	O	_	_	
5-3	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	3-4	
5-4	'll	O	O	_	_	
5-5	want	B-UnrelEv	O	_	_	
5-6	to	O	O	_	_	
5-7	find	B-MissScrEv	O	_	_	
5-8	a	O	O	_	_	
5-9	book	O	B-ScrPart_book	webanno.custom.Corefchains_	1-3	
5-10	that	O	B-ScrPart_book	webanno.custom.Corefchains_	5-9	
5-11	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	5-3	
5-12	'll	O	O	_	_	
5-13	want	B-UnrelEv	O	_	_	
5-14	to	O	O	_	_	
5-15	read	B-RelNScrEv	O	_	_	
5-16	.	O	O	_	_	

#id=6
#text=If you have something in mind already , then you 'll head over to the computers and use the search to find the book .
6-1	If	O	O	_	_	
6-2	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	5-11	
6-3	have	B-UnrelEv	O	_	_	
6-4	something	O	B-ScrPart_book	webanno.custom.Corefchains_	5-10	
6-5	in	O	O	_	_	
6-6	mind	O	O	_	_	
6-7	already	O	O	_	_	
6-8	,	O	O	_	_	
6-9	then	O	O	_	_	
6-10	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	6-2	
6-11	'll	O	O	_	_	
6-12	head	B-RelNScrEv	O	_	_	
6-13	over	I-RelNScrEv	O	_	_	
6-14	to	O	O	_	_	
6-15	the	O	O	_	_	
6-16	computers	O	B-ScrPart_institutional_devices	_	_	
6-17	and	O	O	_	_	
6-18	use	B-ScrEv_use_computer	O	_	_	
6-19	the	O	O	_	_	
6-20	search	O	B-ScrPart_institutional_devices	webanno.custom.Corefchains_	6-16	
6-21	to	O	O	_	_	
6-22	find	B-ScrEv_use_computer	O	_	_	
6-23	the	O	O	_	_	
6-24	book	O	B-ScrPart_book	webanno.custom.Corefchains_	6-4	
6-25	.	O	O	_	_	

#id=7
#text=The computer search will tell you where exactly in the library the book is located , or it might tell you the book is not at this library and that you 'll have to request that they send it to the library for pick up later .
7-1	The	O	O	_	_	
7-2	computer	O	B-ScrPart_institutional_devices	_	_	
7-3	search	O	I-ScrPart_institutional_devices|B-ScrPart_institutional_devices	webanno.custom.Corefchains_	6-20	
7-4	will	O	O	_	_	
7-5	tell	B-ScrEv_use_computer	O	_	_	
7-6	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	6-10	
7-7	where	O	O	_	_	
7-8	exactly	O	O	_	_	
7-9	in	O	O	_	_	
7-10	the	O	O	_	_	
7-11	library	O	B-ScrPart_library	webanno.custom.Corefchains_	1-6	
7-12	the	O	O	_	_	
7-13	book	O	B-ScrPart_book	webanno.custom.Corefchains_	6-24	
7-14	is	O	O	_	_	
7-15	located	B-RelNScrEv	O	_	_	
7-16	,	O	O	_	_	
7-17	or	O	O	_	_	
7-18	it	O	B-ScrPart_institutional_devices	webanno.custom.Corefchains_	7-3	
7-19	might	O	O	_	_	
7-20	tell	B-ScrEv_use_computer	O	_	_	
7-21	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	7-6	
7-22	the	O	O	_	_	
7-23	book	O	B-ScrPart_book	webanno.custom.Corefchains_	7-13	
7-24	is	B-UnrelEv	O	_	_	
7-25	not	O	O	_	_	
7-26	at	O	O	_	_	
7-27	this	O	O	_	_	
7-28	library	O	B-ScrPart_library	webanno.custom.Corefchains_	7-11	
7-29	and	O	O	_	_	
7-30	that	O	O	_	_	
7-31	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	7-21	
7-32	'll	O	O	_	_	
7-33	have	O	O	_	_	
7-34	to	O	O	_	_	
7-35	request	B-ScrEv_order_book	O	_	_	
7-36	that	O	O	_	_	
7-37	they	O	B-ScrPart_staff	webanno.custom.Corefchains_	3-8	
7-38	send	B-RelNScrEv	O	_	_	
7-39	it	O	B-ScrPart_book	webanno.custom.Corefchains_	7-23	
7-40	to	O	O	_	_	
7-41	the	O	O	_	_	
7-42	library	O	B-ScrPart_library	webanno.custom.Corefchains_	7-28	
7-43	for	O	O	_	_	
7-44	pick	O	O	_	_	
7-45	up	O	O	_	_	
7-46	later	O	O	_	_	
7-47	.	O	O	_	_	

#id=8
#text=If the book is available , navigate through the shelves to find the book .
8-1	If	O	O	_	_	
8-2	the	O	O	_	_	
8-3	book	O	B-ScrPart_book	webanno.custom.Corefchains_	7-39	
8-4	is	B-RelNScrEv	O	_	_	
8-5	available	O	O	_	_	
8-6	,	O	O	_	_	
8-7	navigate	B-ScrEv_get_shelf	O	_	_	
8-8	through	O	O	_	_	
8-9	the	O	O	_	_	
8-10	shelves	O	B-ScrPart_shelf	_	_	
8-11	to	O	O	_	_	
8-12	find	B-ScrEv_look_for_book	O	_	_	
8-13	the	O	O	_	_	
8-14	book	O	B-ScrPart_book	webanno.custom.Corefchains_	8-3	
8-15	.	O	O	_	_	

#id=9
#text=Each book has a unique number that is in order which makes finding the book pretty easy .
9-1	Each	O	O	_	_	
9-2	book	O	B-ScrPart_book	webanno.custom.Corefchains_	8-14	
9-3	has	B-UnrelEv	O	_	_	
9-4	a	O	O	_	_	
9-5	unique	O	O	_	_	
9-6	number	O	O	_	_	
9-7	that	O	O	_	_	
9-8	is	B-UnrelEv	O	_	_	
9-9	in	O	O	_	_	
9-10	order	O	O	_	_	
9-11	which	O	O	_	_	
9-12	makes	B-UnrelEv	O	_	_	
9-13	finding	B-ScrEv_look_for_book	O	_	_	
9-14	the	O	O	_	_	
9-15	book	O	B-ScrPart_book	webanno.custom.Corefchains_	9-2	
9-16	pretty	O	O	_	_	
9-17	easy	O	O	_	_	
9-18	.	O	O	_	_	

#id=10
#text=Once you have located the book , bring the book with you to the counter and finish checking out the book .
10-1	Once	O	O	_	_	
10-2	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	7-31	
10-3	have	O	O	_	_	
10-4	located	B-ScrEv_take_book	O	_	_	
10-5	the	O	O	_	_	
10-6	book	O	B-ScrPart_book	webanno.custom.Corefchains_	9-15	
10-7	,	O	O	_	_	
10-8	bring	B-ScrEv_go_check_out	O	_	_	
10-9	the	O	O	_	_	
10-10	book	O	B-ScrPart_book	webanno.custom.Corefchains_	10-6	
10-11	with	O	O	_	_	
10-12	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	10-2	
10-13	to	O	O	_	_	
10-14	the	O	O	_	_	
10-15	counter	O	B-ScrPart_check-out_desk	_	_	
10-16	and	O	O	_	_	
10-17	finish	B-UnrelEv	O	_	_	
10-18	checking	B-ScrEv_register	O	_	_	
10-19	out	I-ScrEv_register	O	_	_	
10-20	the	O	O	_	_	
10-21	book	O	B-ScrPart_book	webanno.custom.Corefchains_	10-10	
10-22	.	O	O	_	_	

#id=11
#text=Be sure to remember when you have to return the book by ! 
11-1	Be	B-UnrelEv	O	_	_	
11-2	sure	I-UnrelEv	O	_	_	
11-3	to	O	O	_	_	
11-4	remember	B-RelNScrEv	O	_	_	
11-5	when	O	O	_	_	
11-6	you	O	B-ScrPart_customer	webanno.custom.Corefchains_	10-12	
11-7	have	O	O	_	_	
11-8	to	O	O	_	_	
11-9	return	B-ScrEv_return_book	O	_	_	
11-10	the	O	O	_	_	
11-11	book	O	B-ScrPart_book	webanno.custom.Corefchains_	10-21	
11-12	by	O	O	_	_	
11-13	!	O	O	_	_	

