 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My husband and I love trees .
1-1	My	B-ScrPart_gardener|B-ScrPart_gardener	O	webanno.custom.Corefchains_|webanno.custom.Corefchains_	2-4|1-4	
1-2	husband	I-ScrPart_gardener|B-ScrPart_gardener	O	webanno.custom.Corefchains_|webanno.custom.Corefchains_	2-4|7-14	
1-3	and	I-ScrPart_gardener	O	webanno.custom.Corefchains_	2-4	
1-4	I	I-ScrPart_gardener|B-ScrPart_gardener	O	webanno.custom.Corefchains_|webanno.custom.Corefchains_	2-4|7-7	
1-5	love	O	B-UnrelEv	_	_	
1-6	trees	B-ScrPart_tree	O	webanno.custom.Corefchains_	2-7	
1-7	.	O	O	_	_	

#id=2
#text=In the spring we bought some trees from a catalog and planted them in May .
2-1	In	O	O	_	_	
2-2	the	O	O	_	_	
2-3	spring	B-ScrPart_time	O	webanno.custom.Corefchains_	2-15	
2-4	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	5-1	
2-5	bought	O	B-ScrEv_get_tree	_	_	
2-6	some	O	O	_	_	
2-7	trees	B-ScrPart_tree	O	webanno.custom.Corefchains_	2-13	
2-8	from	O	O	_	_	
2-9	a	O	O	_	_	
2-10	catalog	O	O	_	_	
2-11	and	O	O	_	_	
2-12	planted	O	B-Evoking	_	_	
2-13	them	B-ScrPart_tree	I-Evoking	webanno.custom.Corefchains_|coref_hazel|coref_birch	10-5|7-19|7-6	
2-14	in	O	O	_	_	
2-15	May	B-ScrPart_time	O	_	_	
2-16	.	O	O	_	_	

#id=3
#text=It was a nice warm day and the sun was shining .
3-1	It	O	O	_	_	
3-2	was	O	B-UnrelEv	_	_	
3-3	a	O	O	_	_	
3-4	nice	O	O	_	_	
3-5	warm	O	O	_	_	
3-6	day	O	O	_	_	
3-7	and	O	O	_	_	
3-8	the	O	O	_	_	
3-9	sun	O	O	_	_	
3-10	was	O	O	_	_	
3-11	shining	O	B-UnrelEv	_	_	
3-12	.	O	O	_	_	

