 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Our back yard was so bare , so we decided to plant a tree to spruce it up .
1-1	Our	B-ScrPart_gardener	O	webanno.custom.Corefchains_	1-9	
1-2	back	B-ScrPart_location_garden	O	_	_	
1-3	yard	I-ScrPart_location_garden|B-ScrPart_location_garden	O	webanno.custom.Corefchains_	1-17	
1-4	was	O	B-UnrelEv	_	_	
1-5	so	O	O	_	_	
1-6	bare	O	O	_	_	
1-7	,	O	O	_	_	
1-8	so	O	O	_	_	
1-9	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	2-1	
1-10	decided	O	B-UnrelEv	_	_	
1-11	to	O	O	_	_	
1-12	plant	O	B-Evoking	_	_	
1-13	a	O	I-Evoking	_	_	
1-14	tree	B-ScrPart_tree	I-Evoking	webanno.custom.Corefchains_	2-6	
1-15	to	O	O	_	_	
1-16	spruce	O	B-UnrelEv	_	_	
1-17	it	B-ScrPart_location_garden	O	_	_	
1-18	up	O	O	_	_	
1-19	.	O	O	_	_	

#id=2
#text=We decided a nice apple tree would look great , and give us fresh fruit when it 's grown .
2-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	2-13	
2-2	decided	O	B-ScrEv_choose_tree	_	_	
2-3	a	O	O	_	_	
2-4	nice	O	O	_	_	
2-5	apple	B-ScrPart_tree	O	_	_	
2-6	tree	I-ScrPart_tree|B-ScrPart_tree	O	webanno.custom.Corefchains_	2-17	
2-7	would	O	O	_	_	
2-8	look	O	B-UnrelEv	_	_	
2-9	great	O	O	_	_	
2-10	,	O	O	_	_	
2-11	and	O	O	_	_	
2-12	give	O	B-UnrelEv	_	_	
2-13	us	B-ScrPart_gardener	O	webanno.custom.Corefchains_	3-2	
2-14	fresh	O	O	_	_	
2-15	fruit	O	O	_	_	
2-16	when	O	O	_	_	
2-17	it	B-ScrPart_tree	O	webanno.custom.Corefchains_	3-12	
2-18	's	O	O	_	_	
2-19	grown	O	B-RelNScrEv	_	_	
2-20	.	O	O	_	_	

#id=3
#text=First we went to the nursery and bough an apple tree sapling .
3-1	First	O	O	_	_	
3-2	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	4-3	
3-3	went	O	B-RelNScrEv	_	_	
3-4	to	O	O	_	_	
3-5	the	O	O	_	_	
3-6	nursery	B-ScrPart_shop	O	_	_	
3-7	and	O	O	_	_	
3-8	bough	O	B-ScrEv_get_tree	_	_	
3-9	an	O	O	_	_	
3-10	apple	B-ScrPart_tree	O	_	_	
3-11	tree	I-ScrPart_tree	O	_	_	
3-12	sapling	I-ScrPart_tree|B-ScrPart_tree	O	webanno.custom.Corefchains_	5-12	
3-13	.	O	O	_	_	

#id=4
#text=Then when we got home , we got to work .
4-1	Then	O	O	_	_	
4-2	when	O	O	_	_	
4-3	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	4-7	
4-4	got	O	B-RelNScrEv	_	_	
4-5	home	B-NPart	O	_	_	
4-6	,	O	O	_	_	
4-7	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	5-1	
4-8	got	O	B-UnrelEv	_	_	
4-9	to	O	O	_	_	
