 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Over the summer , my friend and I decided to plant a tree .
1-1	Over	O	O	_	_	
1-2	the	O	O	_	_	
1-3	summer	B-ScrPart_time	O	_	_	
1-4	,	O	O	_	_	
1-5	my	B-ScrPart_gardener	O	_	_	
1-6	friend	B-ScrPart_gardener	O	_	_	
1-7	and	O	O	_	_	
1-8	I	B-ScrPart_gardener	O	webanno.custom.Corefchains_|group_I_friend	1-5|1-6	
1-9	decided	O	B-UnrelEv	_	_	
1-10	to	O	O	_	_	
1-11	plant	O	B-Evoking	_	_	
1-12	a	O	I-Evoking	_	_	
1-13	tree	B-ScrPart_tree	I-Evoking	_	_	
1-14	.	O	O	_	_	

#id=2
#text=We always wanted to plant one but we never had the time to do it .
2-1	We	B-ScrPart_gardener	O	group_I_friend	1-8	
2-2	always	O	O	_	_	
2-3	wanted	O	B-UnrelEv	_	_	
2-4	to	O	O	_	_	
2-5	plant	O	B-Evoking	_	_	
2-6	one	B-ScrPart_tree	I-Evoking	webanno.custom.Corefchains_	1-13	
2-7	but	O	O	_	_	
2-8	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	2-1	
2-9	never	O	O	_	_	
2-10	had	O	B-UnrelEv	_	_	
2-11	the	O	O	_	_	
2-12	time	B-ScrPart_time	O	_	_	
2-13	to	O	O	_	_	
2-14	do	O	B-UnrelEv	_	_	
2-15	it	O	O	_	_	
2-16	.	O	O	_	_	

#id=3
#text=Now we had the time and we were determined to plant the tree .
3-1	Now	O	O	_	_	
3-2	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	2-8	
3-3	had	O	B-UnrelEv	_	_	
3-4	the	O	O	_	_	
3-5	time	B-ScrPart_time	O	webanno.custom.Corefchains_	2-12	
3-6	and	O	O	_	_	
3-7	we	B-ScrPart_gardener	O	webanno.custom.Corefchains_	3-2	
3-8	were	O	O	_	_	
3-9	determined	O	B-UnrelEv	_	_	
3-10	to	O	O	_	_	
3-11	plant	O	B-Evoking	_	_	
3-12	the	O	I-Evoking	_	_	
3-13	tree	B-ScrPart_tree	I-Evoking	webanno.custom.Corefchains_	2-6	
3-14	.	O	O	_	_	

#id=4
#text=We decided to plant the tree in my backyard since I have the bigger backyard .
4-1	We	B-ScrPart_gardener	O	webanno.custom.Corefchains_	3-7	
