 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=Last night I decided to take a bath to help me relax .
1-1	Last	O	O	O	_	_	
1-2	night	B-NPart	B-webanno.custom.Participants_	O	_	_	
1-3	I	B-ScrPart_bather	B-webanno.custom.Participants_	O	_	_	
1-4	decided	O	O	B-UnrelEv	_	_	
1-5	to	O	O	O	_	_	
1-6	take	O	O	B-Evoking	_	_	
1-7	a	O	O	I-Evoking	_	_	
1-8	bath	B-SuppVComp	B-webanno.custom.Participants_	I-Evoking	_	_	
1-9	to	O	O	O	_	_	
1-10	help	O	O	B-UnrelEv	_	_	
1-11	me	B-ScrPart_bather	B-webanno.custom.Participants_	O	_	_	
1-12	relax	O	O	B-ScrEv_relax	_	_	
1-13	.	O	O	O	_	_	

#id=2
#text=I gather all the things that will help me relax with a bath such as bath salts , bubble bath , and candles to place in the bathroom .
2-1	I	B-ScrPart_bather	B-webanno.custom.Participants_	O	_	_	
2-2	gather	O	O	B-ScrEv_prepare_bath	_	_	
2-3	all	O	O	O	_	_	
2-4	the	O	O	O	_	_	
2-5	things	B-???	B-webanno.custom.Participants_	O	_	_	
2-6	that	B-???	B-webanno.custom.Participants_	O	_	_	
2-7	will	O	O	O	_	_	
2-8	help	O	O	B-UnrelEv	_	_	
2-9	me	B-ScrPart_bather	B-webanno.custom.Participants_	O	_	_	
2-10	relax	O	O	B-ScrEv_relax	_	_	
2-11	with	O	O	O	_	_	
2-12	a	O	O	O	_	_	
2-13	bath	B-ScrPart_bath	B-webanno.custom.Participants_	O	_	_	
2-14	such	O	O	O	_	_	
2-15	as	O	O	O	_	_	
2-16	bath	B-ScrPart_bath_means	B-webanno.custom.Participants_	O	_	_	
2-17	salts	I-ScrPart_bath_means|B-ScrPart_bath_means	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	_	_	
2-18	,	O	O	O	_	_	
2-19	bubble	B-ScrPart_bath_means	B-webanno.custom.Participants_	O	_	_	
2-20	bath	I-ScrPart_bath_means|B-ScrPart_bath_means	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	_	_	
2-21	,	O	O	O	_	_	
2-22	and	O	O	O	_	_	
