 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events
#id=1
#text=After a long day , nothing really relaxes me like a long , soaking bath .
1-1	After	O	O	O	
1-2	a	O	O	O	
1-3	long	O	O	O	
1-4	day	B-NPart	B-webanno.custom.Participants_	O	
1-5	,	O	O	O	
1-6	nothing	B-No_label	B-webanno.custom.Participants_	O	
1-7	really	O	O	O	
1-8	relaxes	O	O	B-ScrEv_relax	
1-9	me	B-ScrPart_bather	B-webanno.custom.Participants_	O	
1-10	like	O	O	O	
1-11	a	O	O	O	
1-12	long	O	O	O	
1-13	,	O	O	O	
1-14	soaking	O	O	B-RelNScrEv	
1-15	bath	B-ScrPart_bath	B-webanno.custom.Participants_	O	
1-16	.	O	O	O	

#id=2
#text=The entire activity for me is something I enjoy and start looking forward to before I 've even left work .
2-1	The	O	O	O	
2-2	entire	O	O	O	
2-3	activity	B-NPart	B-webanno.custom.Participants_	O	
2-4	for	O	O	O	
2-5	me	B-ScrPart_bather	B-webanno.custom.Participants_	O	
2-6	is	O	O	B-UnrelEv	
2-7	something	B-No_label	B-webanno.custom.Participants_	O	
2-8	I	B-ScrPart_bather	B-webanno.custom.Participants_	O	
2-9	enjoy	O	O	B-UnrelEv	
2-10	and	O	O	O	
2-11	start	O	O	B-UnrelEv	
2-12	looking	O	O	B-UnrelEv|B-UnrelEv	
2-13	forward	O	O	I-UnrelEv	
2-14	to	O	O	O	
2-15	before	O	O	B-UnrelEv	
2-16	I	B-ScrPart_bather	B-webanno.custom.Participants_	O	
2-17	've	O	O	O	
2-18	even	O	O	O	
2-19	left	O	O	B-UnrelEv	
2-20	work	B-NPart	B-webanno.custom.Participants_	O	
2-21	.	O	O	O	

#id=3
#text=First I 'll get home and start the tub ... I like the water to be hot to the point of nearly scalding , so I only add a tiny bit of cold water .
3-1	First	O	O	O	
3-2	I	B-ScrPart_bather	B-webanno.custom.Participants_	O	
3-3	'll	O	O	O	
3-4	get	O	O	B-UnrelEv	
3-5	home	B-No_label	B-webanno.custom.Participants_	O	
3-6	and	O	O	O	
3-7	start	O	O	B-ScrEv_turn_water_on	
3-8	the	O	O	O	
3-9	tub	B-ScrPart_bathtub	B-webanno.custom.Participants_	O	
3-10	...	O	O	O	
3-11	I	B-ScrPart_bather	B-webanno.custom.Participants_	O	
3-12	like	O	O	B-UnrelEv	
3-13	the	O	O	O	
3-14	water	B-ScrPart_water	B-webanno.custom.Participants_	O	
3-15	to	O	O	O	
3-16	be	O	O	B-UnrelEv	
3-17	hot	O	O	O	
3-18	to	O	O	O	
3-19	the	O	O	O	
3-20	point	B-No_label	B-webanno.custom.Participants_	O	
3-21	of	O	O	O	
3-22	nearly	O	O	O	
3-23	scalding	O	O	O	
3-24	,	O	O	O	
3-25	so	O	O	O	
3-26	I	B-ScrPart_bather	B-webanno.custom.Participants_	O	
3-27	only	O	O	O	
3-28	add	O	O	B-ScrEv_other	
3-29	a	O	O	O	
3-30	tiny	O	O	O	
3-31	bit	B-No_label	B-webanno.custom.Participants_	O	
3-32	of	O	O	O	
3-33	cold	O	O	O	
