 # webanno.custom.Participants | Participant # webanno.custom.Events | Events
#id=1
#text=My bike tire was flat so I went to the bike shop and bought a replacement .
1-1	My	B-ScrPart_rider	O	
1-2	bike	B-ScrPart_tire	O	
1-3	tire	I-ScrPart_tire|B-ScrPart_tire	O	
1-4	was	O	B-UnrelEv	
1-5	flat	O	O	
1-6	so	O	O	
1-7	I	B-ScrPart_rider	O	
1-8	went	O	B-RelNScrEv	
1-9	to	O	O	
1-10	the	O	O	
1-11	bike	B-ScrPart_shop	O	
1-12	shop	I-ScrPart_shop|B-ScrPart_shop	O	
1-13	and	O	O	
1-14	bought	O	B-RelNScrEv	
1-15	a	O	O	
1-16	replacement	B-ScrPart_spare_tube	O	
1-17	.	O	O	

#id=2
#text=I first took the old tire off of my bike .
2-1	I	B-ScrPart_rider	O	
2-2	first	O	O	
2-3	took	O	B-ScrEv_take_tire_off	
2-4	the	O	O	
2-5	old	O	O	
2-6	tire	B-ScrPart_tire	O	
2-7	off	O	O	
2-8	of	O	O	
2-9	my	B-ScrPart_rider	O	
2-10	bike	B-ScrPart_bicycle	O	
2-11	.	O	O	

#id=3
#text=Then I set my bike on a rack to that the flat tire would be easy to get to .
3-1	Then	O	O	
3-2	I	B-ScrPart_rider	O	
3-3	set	O	B-RelNScrEv	
3-4	my	B-ScrPart_rider	O	
3-5	bike	B-ScrPart_bicycle	O	
3-6	on	O	O	
3-7	a	O	O	
3-8	rack	B-NPart	O	
3-9	to	O	O	
3-10	that	O	O	
3-11	the	O	O	
3-12	flat	O	O	
3-13	tire	B-ScrPart_tire	O	
3-14	would	O	O	
3-15	be	O	B-UnrelEv	
3-16	easy	O	O	
3-17	to	O	O	
3-18	get	O	B-UnrelEv	
3-19	to	O	O	
3-20	.	O	O	

#id=4
#text=Then I put the new tire around the wheel to see if it fits .
4-1	Then	O	O	
4-2	I	B-ScrPart_rider	O	
4-3	put	O	B-RelNScrEv	
4-4	the	O	O	
4-5	new	O	O	
4-6	tire	B-ScrPart_spare_tube	O	
4-7	around	O	O	
4-8	the	O	O	
4-9	wheel	B-ScrPart_wheel	O	
4-10	to	O	O	
4-11	see	O	B-RelNScrEv	
4-12	if	O	O	
