 # webanno.custom.Events | Event | Events # webanno.custom.Participants | Participant
#id=1
#text=Do n't own a car ?
1-1	Do	O	O	O	
1-2	n't	O	O	O	
1-3	own	B-webanno.custom.Events_	B-UnrelEv	O	
1-4	a	O	O	O	
1-5	car	O	O	B-NPart	
1-6	?	O	O	O	

#id=2
#text=Tired of walking around ?
2-1	Tired	O	O	O	
2-2	of	O	O	O	
2-3	walking	B-webanno.custom.Events_	B-UnrelEv	O	
2-4	around	O	O	O	
2-5	?	O	O	O	

#id=3
#text=Well I have a perfect solution for you , and it 's right under your nose .
3-1	Well	O	O	O	
3-2	I	O	O	B-NPart	
3-3	have	B-webanno.custom.Events_	B-UnrelEv	O	
3-4	a	O	O	O	
3-5	perfect	O	O	O	
3-6	solution	O	O	B-NPart	
3-7	for	O	O	O	
3-8	you	O	O	B-ScrPart_passenger	
3-9	,	O	O	O	
3-10	and	O	O	O	
3-11	it	O	O	B-NPart	
3-12	's	B-webanno.custom.Events_	B-UnrelEv	O	
3-13	right	O	O	O	
3-14	under	O	O	O	
3-15	your	O	O	B-ScrPart_passenger	
3-16	nose	O	O	B-NPart	
3-17	.	O	O	O	

#id=4
#text=Head to your local corner bus stop and travel on another form of transportation !
4-1	Head	B-webanno.custom.Events_	B-ScrEv_get_bus_stop	O	
4-2	to	O	O	O	
4-3	your	O	O	B-ScrPart_passenger	
4-4	local	O	O	O	
4-5	corner	O	O	B-ScrPart_bus_stop	
4-6	bus	O	O	I-ScrPart_bus_stop	
4-7	stop	O	O	I-ScrPart_bus_stop|B-ScrPart_bus_stop	
4-8	and	O	O	O	
4-9	travel	B-webanno.custom.Events_	B-RelNScrEv	O	
4-10	on	O	O	O	
4-11	another	O	O	O	
4-12	form	O	O	B-NPart	
4-13	of	O	O	O	
4-14	transportation	O	O	B-NPart	
4-15	!	O	O	O	

#id=5
#text=It 's very simple if you live in an Urban setting , and still pretty simple in the suburbs .
5-1	It	O	O	B-No_label	
5-2	's	B-webanno.custom.Events_	B-UnrelEv	O	
5-3	very	O	O	O	
5-4	simple	O	O	O	
5-5	if	O	O	O	
5-6	you	O	O	B-ScrPart_passenger	
5-7	live	B-webanno.custom.Events_	B-UnrelEv	O	
5-8	in	O	O	O	
5-9	an	O	O	O	
5-10	Urban	O	O	B-NPart	
5-11	setting	O	O	I-NPart|B-NPart	
5-12	,	O	O	O	
5-13	and	O	O	O	
5-14	still	O	O	O	
5-15	pretty	O	O	O	
5-16	simple	O	O	O	
5-17	in	O	O	O	
5-18	the	O	O	O	
5-19	suburbs	O	O	B-NPart	
5-20	.	O	O	O	

#id=6
#text=A good resource first is to look up a bus schedule on the internet .
6-1	A	O	O	O	
6-2	good	O	O	O	
6-3	resource	O	O	B-NPart	
6-4	first	O	O	O	
6-5	is	B-webanno.custom.Events_	B-UnrelEv	O	
6-6	to	O	O	O	
6-7	look	B-webanno.custom.Events_	B-ScrEv_check_time-table	O	
6-8	up	I-webanno.custom.Events_	I-ScrEv_check_time-table	O	
6-9	a	O	O	O	
6-10	bus	O	O	B-ScrPart_time-table	
6-11	schedule	O	O	I-ScrPart_time-table|B-ScrPart_time-table	
6-12	on	O	O	O	
6-13	the	O	O	O	
6-14	internet	O	O	B-NPart	
6-15	.	O	O	O	

#id=7
#text=Additionally , you could search the sidewalks for prominent signage that indicates a bus will stop in your area .
7-1	Additionally	O	O	O	
7-2	,	O	O	O	
7-3	you	O	O	B-ScrPart_passenger	
7-4	could	O	O	O	
7-5	search	B-webanno.custom.Events_	B-ScrEv_find_bus	O	
7-6	the	O	O	O	
7-7	sidewalks	O	O	B-NPart	
7-8	for	O	O	O	
7-9	prominent	O	O	O	
7-10	signage	O	O	B-NPart	
7-11	that	O	O	O	
7-12	indicates	B-webanno.custom.Events_	B-UnrelEv	O	
7-13	a	O	O	O	
7-14	bus	O	O	B-ScrPart_bus	
7-15	will	O	O	O	
7-16	stop	B-webanno.custom.Events_	B-ScrEv_bus_stops	O	
7-17	in	O	O	O	
7-18	your	O	O	B-ScrPart_passenger	
7-19	area	O	O	B-ScrPart_bus_stop	
7-20	.	O	O	O	

#id=8
#text=Once you decide on where you want to go , and the time at which the bus comes , just head out to this stop and simply wait .
8-1	Once	O	O	O	
8-2	you	O	O	B-ScrPart_passenger	
8-3	decide	B-webanno.custom.Events_	B-UnrelEv	O	
8-4	on	O	O	O	
8-5	where	O	O	O	
8-6	you	O	O	B-ScrPart_passenger	
8-7	want	B-webanno.custom.Events_	B-UnrelEv	O	
8-8	to	O	O	O	
8-9	go	B-webanno.custom.Events_	B-RelNScrEv	O	
8-10	,	O	O	O	
8-11	and	O	O	O	
8-12	the	O	O	O	
8-13	time	O	O	B-ScrPart_time/date	
8-14	at	O	O	O	
8-15	which	O	O	O	
8-16	the	O	O	O	
8-17	bus	O	O	B-ScrPart_bus	
8-18	comes	B-webanno.custom.Events_	B-ScrEv_bus_comes	O	
8-19	,	O	O	O	
8-20	just	O	O	O	
8-21	head	B-webanno.custom.Events_	B-ScrEv_get_bus_stop	O	
8-22	out	O	O	O	
8-23	to	O	O	O	
8-24	this	O	O	O	
8-25	stop	O	O	B-ScrPart_bus_stop	
8-26	and	O	O	O	
8-27	simply	O	O	O	
8-28	wait	B-webanno.custom.Events_	B-ScrEv_wait	O	
8-29	.	O	O	O	

#id=9
#text=A bus will eventually show up where you can board and pay directly to the bus driver .
9-1	A	O	O	O	
9-2	bus	O	O	B-ScrPart_bus	
9-3	will	O	O	O	
9-4	eventually	O	O	O	
9-5	show	B-webanno.custom.Events_	B-ScrEv_bus_comes	O	
9-6	up	I-webanno.custom.Events_	I-ScrEv_bus_comes	O	
9-7	where	O	O	O	
9-8	you	O	O	B-ScrPart_passenger	
9-9	can	O	O	O	
9-10	board	B-webanno.custom.Events_	B-ScrEv_board_bus	O	
9-11	and	O	O	O	
9-12	pay	B-webanno.custom.Events_	B-ScrEv_get_ticket	O	
9-13	directly	O	O	O	
9-14	to	O	O	O	
9-15	the	O	O	O	
9-16	bus	O	O	B-ScrPart_bus_staff	
9-17	driver	O	O	I-ScrPart_bus_staff|B-ScrPart_bus_staff	
9-18	.	O	O	O	

#id=10
#text=Once paid , simply find an open seat and gaze out the window at the bustling of life that you are passing by .
10-1	Once	O	O	O	
10-2	paid	B-webanno.custom.Events_	B-ScrEv_get_ticket	O	
10-3	,	O	O	O	
10-4	simply	O	O	O	
10-5	find	B-webanno.custom.Events_	B-ScrEv_find_place	O	
10-6	an	O	O	O	
10-7	open	O	O	O	
10-8	seat	O	O	B-ScrPart_seat_in_bus	
10-9	and	O	O	O	
10-10	gaze	B-webanno.custom.Events_	B-ScrEv_spend_time_bus	O	
10-11	out	O	O	O	
10-12	the	O	O	O	
10-13	window	O	O	B-NPart	
10-14	at	O	O	O	
10-15	the	O	O	O	
10-16	bustling	O	O	B-NPart	
10-17	of	O	O	O	
10-18	life	O	O	B-NPart	
10-19	that	O	O	O	
10-20	you	O	O	B-ScrPart_passenger	
10-21	are	O	O	O	
10-22	passing	B-webanno.custom.Events_	B-RelNScrEv	O	
10-23	by	I-webanno.custom.Events_	I-RelNScrEv	O	
10-24	.	O	O	O	

#id=11
#text=Eventually you will arrive at your destination and can exit the bus .
11-1	Eventually	O	O	O	
11-2	you	O	O	B-ScrPart_passenger	
11-3	will	O	O	O	
11-4	arrive	B-webanno.custom.Events_	B-ScrEv_bus_stops	O	
11-5	at	O	O	O	
11-6	your	O	O	B-ScrPart_passenger	
11-7	destination	O	O	B-ScrPart_destination	
11-8	and	O	O	O	
11-9	can	O	O	O	
11-10	exit	B-webanno.custom.Events_	B-ScrEv_get_off	O	
11-11	the	O	O	O	
11-12	bus	O	O	B-ScrPart_bus	
11-13	.	O	O	O	

#id=12
#text=Once you finish running your errands simply return to another bus spot and find a ride home . 
12-1	Once	O	O	O	
12-2	you	O	O	B-ScrPart_passenger	
12-3	finish	B-webanno.custom.Events_	B-UnrelEv	O	
12-4	running	B-webanno.custom.Events_	B-UnrelEv	O	
12-5	your	O	O	B-ScrPart_passenger	
12-6	errands	O	O	B-SuppVComp	
12-7	simply	O	O	O	
12-8	return	B-webanno.custom.Events_	B-ScrEv_get_bus_stop	O	
12-9	to	O	O	O	
12-10	another	O	O	O	
12-11	bus	O	O	B-ScrPart_bus_stop	
12-12	spot	O	O	I-ScrPart_bus_stop|B-ScrPart_bus_stop	
12-13	and	O	O	O	
12-14	find	B-webanno.custom.Events_	B-ScrEv_find_bus	O	
12-15	a	O	O	O	
12-16	ride	O	O	B-ScrPart_ride	
12-17	home	O	O	B-NPart	
12-18	.	O	O	O	

