 # webanno.custom.Participants | Participants | Participant # webanno.custom.Events | Events
#id=1
#text=My friend and his wife have a dessert business and baking cakes is their specialty .
1-1	My	B-ScrPart_cook|B-ScrPart_cook	B-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
1-2	friend	I-ScrPart_cook|B-ScrPart_cook	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
1-3	and	I-ScrPart_cook	I-webanno.custom.Participants_	O	
1-4	his	I-ScrPart_cook|B-ScrPart_cook	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
1-5	wife	I-ScrPart_cook|B-ScrPart_cook	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
1-6	have	O	O	B-UnrelEv	
1-7	a	O	O	O	
1-8	dessert	B-NPart	B-webanno.custom.Participants_	O	
1-9	business	I-NPart|B-NPart	I-webanno.custom.Participants_|B-webanno.custom.Participants_	O	
1-10	and	O	O	O	
1-11	baking	O	O	B-Evoking	
1-12	cakes	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	
1-13	is	O	O	B-UnrelEv	
1-14	their	B-ScrPart_cook	B-webanno.custom.Participants_	O	
1-15	specialty	B-NPart	B-webanno.custom.Participants_	O	
1-16	.	O	O	O	

#id=2
#text=Often , they 'll call me up to help them out in the shop for a few extra dollars if I have the time .
2-1	Often	O	O	O	
2-2	,	O	O	O	
2-3	they	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-4	'll	O	O	O	
2-5	call	O	O	B-UnrelEv	
2-6	me	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-7	up	O	O	O	
2-8	to	O	O	O	
2-9	help	O	O	B-UnrelEv	
2-10	them	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-11	out	O	O	O	
2-12	in	O	O	O	
2-13	the	O	O	O	
2-14	shop	B-NPart	B-webanno.custom.Participants_	O	
2-15	for	O	O	O	
2-16	a	O	O	O	
2-17	few	O	O	O	
2-18	extra	O	O	O	
2-19	dollars	B-NPart	B-webanno.custom.Participants_	O	
2-20	if	O	O	O	
2-21	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
2-22	have	O	O	B-UnrelEv	
2-23	the	O	O	O	
2-24	time	B-NPart	B-webanno.custom.Participants_	O	
2-25	.	O	O	O	

#id=3
#text=I am always up to doing it !
3-1	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
3-2	am	O	O	B-UnrelEv	
3-3	always	O	O	O	
3-4	up	O	O	O	
3-5	to	O	O	O	
3-6	doing	O	O	B-UnrelEv	
3-7	it	B-No_label	B-webanno.custom.Participants_	O	
3-8	!	O	O	O	

#id=4
#text=It is messy , but it is fun , and I can lick the spoon !
4-1	It	B-No_label	B-webanno.custom.Participants_	O	
4-2	is	O	O	B-UnrelEv	
4-3	messy	O	O	O	
4-4	,	O	O	O	
4-5	but	O	O	O	
4-6	it	B-No_label	B-webanno.custom.Participants_	O	
4-7	is	O	O	B-UnrelEv	
4-8	fun	B-NPart	B-webanno.custom.Participants_	O	
4-9	,	O	O	O	
4-10	and	O	O	O	
4-11	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
4-12	can	O	O	O	
4-13	lick	O	O	B-RelNScrEv	
4-14	the	O	O	O	
4-15	spoon	B-ScrPart_utensil	B-webanno.custom.Participants_	O	
4-16	!	O	O	O	

#id=5
#text=Anyway , they were baking a few cakes the other day , and I came over just in time to help them with their last order .
5-1	Anyway	O	O	O	
5-2	,	O	O	O	
5-3	they	B-ScrPart_cook	B-webanno.custom.Participants_	O	
5-4	were	O	O	O	
5-5	baking	O	O	B-Evoking	
5-6	a	O	O	I-Evoking	
5-7	few	O	O	I-Evoking	
5-8	cakes	B-ScrPart_cake	B-webanno.custom.Participants_	I-Evoking	
5-9	the	O	O	O	
5-10	other	O	O	O	
5-11	day	B-NPart	B-webanno.custom.Participants_	O	
5-12	,	O	O	O	
5-13	and	O	O	O	
5-14	I	B-ScrPart_cook	B-webanno.custom.Participants_	O	
5-15	came	O	O	B-UnrelEv	
5-16	over	O	O	I-UnrelEv	
5-17	just	O	O	O	
5-18	in	O	O	O	
5-19	time	B-No_label	B-webanno.custom.Participants_	O	
5-20	to	O	O	O	
5-21	help	O	O	B-UnrelEv	
5-22	them	B-ScrPart_cook	B-webanno.custom.Participants_	O	
5-23	with	O	O	O	
