 # webanno.custom.Participants | Participant # webanno.custom.Events | Events
#id=1
#text=Yesterday I went grocery shopping .
1-1	Yesterday	B-NPart	O	
1-2	I	B-ScrPart_shopper	O	
1-3	went	O	B-Evoking	
1-4	grocery	O	I-Evoking	
1-5	shopping	O	I-Evoking	
1-6	.	O	O	

#id=2
#text=I left my house and drove to the store .
2-1	I	B-ScrPart_shopper	O	
2-2	left	O	B-UnrelEv	
2-3	my	B-ScrPart_shopper	O	
2-4	house	B-NPart	O	
2-5	and	O	O	
2-6	drove	O	B-ScrEv_go_grocery	
2-7	to	O	O	
2-8	the	O	O	
2-9	store	B-ScrPart_grocery_shop	O	
2-10	.	O	O	

#id=3
#text=I parked the car , walked inside and grabbed a shopping cart .
3-1	I	B-ScrPart_shopper	O	
3-2	parked	O	B-RelNScrEv	
3-3	the	O	O	
3-4	car	B-ScrPart_vehicle	O	
3-5	,	O	O	
3-6	walked	O	B-ScrEv_enter	
3-7	inside	O	O	
3-8	and	O	O	
3-9	grabbed	O	B-ScrEv_take_shop_cart	
3-10	a	O	O	
3-11	shopping	B-ScrPart_shopping_cart/basket	O	
3-12	cart	I-ScrPart_shopping_cart/basket|B-ScrPart_shopping_cart/basket	O	
3-13	.	O	O	

#id=4
#text=I looked at my list and saw that I needed some fresh produce .
4-1	I	B-ScrPart_shopper	O	
4-2	looked	O	B-RelNScrEv	
4-3	at	O	O	
4-4	my	B-ScrPart_shopper	O	
4-5	list	B-ScrPart_grocery_list	O	
4-6	and	O	O	
4-7	saw	O	B-UnrelEv	
4-8	that	O	O	
4-9	I	B-ScrPart_shopper	O	
4-10	needed	O	B-RelNScrEv	
4-11	some	O	O	
4-12	fresh	O	O	
4-13	produce	B-ScrPart_groceries	O	
4-14	.	O	O	

#id=5
#text=I picked out the best looking strawberries , they were on sale for $ 2 a pound .
5-1	I	B-ScrPart_shopper	O	
5-2	picked	O	B-ScrEv_get_groceries|B-ScrEv_get_groceries	
5-3	out	O	I-ScrEv_get_groceries	
5-4	the	O	O	
5-5	best	O	O	
5-6	looking	O	B-UnrelEv	
5-7	strawberries	B-ScrPart_groceries	O	
5-8	,	O	O	
5-9	they	B-ScrPart_groceries	O	
5-10	were	O	B-RelNScrEv	
5-11	on	O	O	
5-12	sale	O	B-UnrelEv	
5-13	for	O	O	
5-14	$	B-ScrPart_price	O	
5-15	2	I-ScrPart_price	O	
5-16	a	O	O	
5-17	pound	B-Head_of_Partitive	O	
5-18	.	O	O	

#id=6
#text=I bought several pounds because my daughter loves fresh strawberries .
6-1	I	B-ScrPart_shopper	O	
6-2	bought	O	B-RelNScrEv	
6-3	several	O	O	
6-4	pounds	B-Head_of_Partitive	O	
6-5	because	O	O	
6-6	my	B-ScrPart_shopper	O	
6-7	daughter	B-NPart	O	
6-8	loves	O	B-UnrelEv	
6-9	fresh	O	O	
6-10	strawberries	B-ScrPart_groceries	O	
6-11	.	O	O	

#id=7
#text=I finished up in the produce section , buying some things to make a green salad later to go with dinner .
7-1	I	B-ScrPart_shopper	O	
7-2	finished	O	B-UnrelEv|B-UnrelEv	
7-3	up	O	I-UnrelEv	
7-4	in	O	O	
7-5	the	O	O	
7-6	produce	B-ScrPart_section	O	
7-7	section	I-ScrPart_section|B-ScrPart_section	O	
7-8	,	O	O	
7-9	buying	O	B-RelNScrEv	
7-10	some	O	O	
7-11	things	B-ScrPart_groceries	O	
7-12	to	O	O	
7-13	make	O	B-UnrelEv	
7-14	a	O	O	
7-15	green	O	O	
7-16	salad	B-NPart	O	
7-17	later	O	O	
7-18	to	O	O	
7-19	go	O	B-UnrelEv	
7-20	with	O	O	
7-21	dinner	B-NPart	O	
7-22	.	O	O	

#id=8
#text=I then stopped at the meat section and picked out some nice cuts of steak for dinner .
8-1	I	B-ScrPart_shopper	O	
8-2	then	O	O	
8-3	stopped	O	B-ScrEv_move_section	
8-4	at	O	O	
8-5	the	O	O	
8-6	meat	B-ScrPart_section	O	
8-7	section	I-ScrPart_section|B-ScrPart_section	O	
8-8	and	O	O	
8-9	picked	O	B-ScrEv_get_groceries	
8-10	out	O	O	
8-11	some	O	O	
8-12	nice	O	O	
8-13	cuts	B-NPart	O	
8-14	of	O	O	
8-15	steak	B-ScrPart_groceries	O	
8-16	for	O	O	
8-17	dinner	B-NPart	O	
8-18	.	O	O	

#id=9
#text=I went into the frozen foods section and found ice cream was also on sale .
9-1	I	B-ScrPart_shopper	O	
9-2	went	O	B-ScrEv_move_section	
9-3	into	O	O	
9-4	the	O	O	
9-5	frozen	B-ScrPart_section	O	
9-6	foods	I-ScrPart_section	O	
9-7	section	I-ScrPart_section|B-ScrPart_section	O	
9-8	and	O	O	
9-9	found	O	B-UnrelEv	
9-10	ice	B-ScrPart_groceries	O	
9-11	cream	I-ScrPart_groceries|B-ScrPart_groceries	O	
9-12	was	O	B-RelNScrEv	
9-13	also	O	O	
9-14	on	O	O	
9-15	sale	B-No_label	O	
9-16	.	O	O	

#id=10
#text=I bought vanilla and chocolate .
10-1	I	B-ScrPart_shopper	O	
10-2	bought	O	B-RelNScrEv	
10-3	vanilla	B-ScrPart_groceries	O	
10-4	and	O	O	
10-5	chocolate	B-ScrPart_groceries	O	
10-6	.	O	O	

#id=11
#text=I went through the rest of the aisles , consulting my list and picking out what my family needed .
11-1	I	B-ScrPart_shopper	O	
11-2	went	O	B-ScrEv_move_section|B-ScrEv_move_section	
11-3	through	O	I-ScrEv_move_section	
11-4	the	O	O	
11-5	rest	B-Head_of_Partitive	O	
11-6	of	O	O	
11-7	the	O	O	
11-8	aisles	B-ScrPart_section	O	
11-9	,	O	O	
11-10	consulting	O	B-ScrEv_check_list	
11-11	my	B-ScrPart_shopper	O	
11-12	list	B-ScrPart_grocery_list	O	
11-13	and	I-ScrPart_grocery_list	O	
11-14	picking	O	B-ScrEv_get_groceries|B-ScrEv_get_groceries	
11-15	out	O	I-ScrEv_get_groceries	
11-16	what	O	O	
11-17	my	B-ScrPart_shopper	O	
11-18	family	B-NPart	O	
11-19	needed	O	B-RelNScrEv	
11-20	.	O	O	

#id=12
#text=When I had found everything I needed , and put them in my cart , I walked over to the checkout lanes .
12-1	When	O	O	
12-2	I	B-ScrPart_shopper	O	
12-3	had	O	O	
12-4	found	O	B-ScrEv_get_groceries	
12-5	everything	B-ScrPart_groceries	O	
12-6	I	B-ScrPart_shopper	O	
12-7	needed	O	B-RelNScrEv	
12-8	,	O	O	
12-9	and	O	O	
12-10	put	O	B-ScrEv_other	
12-11	them	B-ScrPart_groceries	O	
12-12	in	O	O	
12-13	my	B-ScrPart_shopper	O	
12-14	cart	B-ScrPart_shopping_cart/basket	O	
12-15	,	O	O	
12-16	I	B-ScrPart_shopper	O	
12-17	walked	O	B-ScrEv_go_checkout|B-ScrEv_go_checkout	
12-18	over	O	I-ScrEv_go_checkout	
12-19	to	O	O	
12-20	the	O	O	
12-21	checkout	B-ScrPart_cash_desk	O	
12-22	lanes	I-ScrPart_cash_desk|B-ScrPart_cash_desk	O	
12-23	.	O	O	

#id=13
#text=I stood in line and waited for my turn .
13-1	I	B-ScrPart_shopper	O	
13-2	stood	O	B-UnrelEv	
13-3	in	O	O	
13-4	line	B-ScrPart_line	O	
13-5	and	O	O	
13-6	waited	O	B-ScrEv_wait|B-ScrEv_wait	
13-7	for	O	I-ScrEv_wait	
13-8	my	B-ScrPart_shopper	O	
13-9	turn	B-NPart	O	
13-10	.	O	O	

#id=14
#text=Finally , it was my turn and the checkout person checked me out .
14-1	Finally	O	O	
14-2	,	O	O	
14-3	it	B-No_label	O	
14-4	was	O	B-UnrelEv	
14-5	my	B-ScrPart_shopper	O	
14-6	turn	B-No_label	O	
14-7	and	O	O	
14-8	the	O	O	
14-9	checkout	B-ScrPart_grocery_staff	O	
14-10	person	I-ScrPart_grocery_staff|B-ScrPart_grocery_staff	O	
14-11	checked	O	B-RelNScrEv	
14-12	me	B-ScrPart_shopper	O	
14-13	out	O	O	
14-14	.	O	O	

#id=15
#text=I paid my bill , and walked out to my car with the shopping cart .
15-1	I	B-ScrPart_shopper	O	
15-2	paid	O	B-ScrEv_pay	
15-3	my	B-ScrPart_shopper	O	
15-4	bill	B-NPart	O	
15-5	,	O	O	
15-6	and	O	O	
15-7	walked	O	B-ScrEv_bring_vehicle	
15-8	out	O	O	
15-9	to	O	O	
15-10	my	B-ScrPart_shopper	O	
15-11	car	B-ScrPart_vehicle	O	
15-12	with	O	O	
15-13	the	O	O	
15-14	shopping	B-ScrPart_shopping_cart/basket	O	
15-15	cart	I-ScrPart_shopping_cart/basket|B-ScrPart_shopping_cart/basket	O	
15-16	.	O	O	

#id=16
#text=Then I loaded the car up with the groceries , returned the cart and drove home . 
16-1	Then	O	O	
16-2	I	B-ScrPart_shopper	O	
16-3	loaded	O	B-ScrEv_bring_vehicle	
16-4	the	O	O	
16-5	car	B-ScrPart_vehicle	O	
16-6	up	O	O	
16-7	with	O	O	
16-8	the	O	O	
16-9	groceries	B-ScrPart_groceries	O	
16-10	,	O	O	
16-11	returned	O	B-ScrEv_return_shop_cart	
16-12	the	O	O	
16-13	cart	B-ScrPart_shopping_cart/basket	O	
16-14	and	O	O	
16-15	drove	O	B-UnrelEv	
16-16	home	B-No_label	O	
16-17	.	O	O	

