 # webanno.custom.Participants | Participant | Participants # webanno.custom.Events | Events
#id=1
#text=The library called and a book that I had asked to be notified when it came back to the library was back in .
1-1	The	O	O	O	
1-2	library	B-ScrPart_library	B-webanno.custom.Participants_	O	
1-3	called	O	O	B-UnrelEv	
1-4	and	O	O	O	
1-5	a	O	O	O	
1-6	book	B-ScrPart_book	B-webanno.custom.Participants_	O	
1-7	that	O	O	O	
1-8	I	B-ScrPart_customer	B-webanno.custom.Participants_	O	
1-9	had	O	O	O	
1-10	asked	O	O	B-UnrelEv	
1-11	to	O	O	O	
1-12	be	O	O	O	
1-13	notified	O	O	B-UnrelEv	
1-14	when	O	O	O	
1-15	it	B-ScrPart_book	B-webanno.custom.Participants_	O	
1-16	came	O	O	B-UnrelEv	
1-17	back	O	O	I-UnrelEv	
1-18	to	O	O	O	
1-19	the	O	O	O	
1-20	library	B-ScrPart_library	B-webanno.custom.Participants_	O	
1-21	was	O	O	B-UnrelEv	
1-22	back	O	O	O	
1-23	in	O	O	O	
1-24	.	O	O	O	

#id=2
#text=I drove to the library that is downtown .
2-1	I	B-ScrPart_customer	B-webanno.custom.Participants_	O	
2-2	drove	O	O	B-ScrEv_get_library	
2-3	to	O	O	O	
2-4	the	O	O	O	
2-5	library	B-ScrPart_library	B-webanno.custom.Participants_	O	
2-6	that	O	O	O	
2-7	is	O	O	B-UnrelEv	
2-8	downtown	B-NPart	B-webanno.custom.Participants_	O	
2-9	.	O	O	O	

#id=3
#text=I went up to the librarians ' desk and asked for my book .
3-1	I	B-ScrPart_customer	B-webanno.custom.Participants_	O	
3-2	went	O	O	B-RelNScrEv	
3-3	up	O	O	O	
3-4	to	O	O	O	
3-5	the	O	O	O	
3-6	librarians	B-ScrPart_staff	B-webanno.custom.Participants_	O	
3-7	'	O	O	O	
3-8	desk	B-ScrPart_check-out_desk	B-webanno.custom.Participants_	O	
3-9	and	O	O	O	
3-10	asked	O	O	B-ScrEv_ask_librarian	
3-11	for	O	O	O	
3-12	my	B-ScrPart_customer	B-webanno.custom.Participants_	O	
3-13	book	B-ScrPart_book	B-webanno.custom.Participants_	O	
3-14	.	O	O	O	

#id=4
#text=The librarian went away to a set of shelves behind the counter and returned with the book .
4-1	The	O	O	O	
4-2	librarian	B-ScrPart_staff	B-webanno.custom.Participants_	O	
4-3	went	O	O	B-UnrelEv	
4-4	away	O	O	O	
4-5	to	O	O	O	
4-6	a	O	O	O	
4-7	set	B-NPart	B-webanno.custom.Participants_	O	
4-8	of	O	O	O	
4-9	shelves	B-ScrPart_shelf	B-webanno.custom.Participants_	O	
4-10	behind	O	O	O	
4-11	the	O	O	O	
4-12	counter	B-ScrPart_check-out_desk	B-webanno.custom.Participants_	O	
4-13	and	O	O	O	
4-14	returned	O	O	B-UnrelEv	
4-15	with	O	O	O	
4-16	the	O	O	O	
4-17	book	B-ScrPart_book	B-webanno.custom.Participants_	O	
4-18	.	O	O	O	

#id=5
#text=I went and sat on a chair and looked the book over to see if it was something that I really did want to read .
5-1	I	B-ScrPart_customer	B-webanno.custom.Participants_	O	
5-2	went	O	O	B-UnrelEv	
5-3	and	O	O	O	
5-4	sat	O	O	B-RelNScrEv	
5-5	on	O	O	O	
5-6	a	O	O	O	
5-7	chair	B-ScrPart_reading_area_furniture	B-webanno.custom.Participants_	O	
5-8	and	O	O	O	
5-9	looked	O	O	B-RelNScrEv	
5-10	the	O	O	O	
5-11	book	B-ScrPart_book	B-webanno.custom.Participants_	O	
5-12	over	O	O	O	
5-13	to	O	O	O	
5-14	see	O	O	B-RelNScrEv	
