 # webanno.custom.Events | Events # webanno.custom.Participants | Participant
#id=1
#text=Why buy a book when you can borrow one from the library ?
1-1	Why	O	O	
1-2	buy	B-UnrelEv	O	
1-3	a	O	O	
1-4	book	O	B-ScrPart_book	
1-5	when	O	O	
1-6	you	O	B-ScrPart_customer	
1-7	can	O	O	
1-8	borrow	B-Evoking	O	
1-9	one	I-Evoking	B-ScrPart_book	
1-10	from	I-Evoking	O	
1-11	the	I-Evoking	O	
1-12	library	I-Evoking	B-ScrPart_library	
1-13	?	O	O	

#id=2
#text=Your local library has a wealth of resources just waiting for you to explore .
2-1	Your	O	B-ScrPart_customer	
2-2	local	O	O	
2-3	library	O	B-ScrPart_library	
2-4	has	B-UnrelEv	O	
2-5	a	O	O	
2-6	wealth	O	B-Head_of_Partitive	
2-7	of	O	O	
2-8	resources	O	B-ScrPart_book	
2-9	just	O	O	
2-10	waiting	B-UnrelEv	O	
2-11	for	O	O	
2-12	you	O	B-ScrPart_customer	
2-13	to	O	O	
2-14	explore	B-RelNScrEv	O	
2-15	.	O	O	

#id=3
#text=Before you check anything out , you will need a library card .
3-1	Before	O	O	
3-2	you	O	B-ScrPart_customer	
3-3	check	B-ScrEv_register	O	
3-4	anything	O	B-ScrPart_book	
3-5	out	O	O	
3-6	,	O	O	
3-7	you	O	B-ScrPart_customer	
3-8	will	O	O	
3-9	need	B-UnrelEv	O	
3-10	a	O	O	
3-11	library	O	B-ScrPart_library_card	
3-12	card	O	I-ScrPart_library_card|B-ScrPart_library_card	
3-13	.	O	O	

#id=4
#text=Typically , you will need to prove who you are and where you live .
4-1	Typically	O	O	
4-2	,	O	O	
4-3	you	O	B-ScrPart_customer	
4-4	will	O	O	
4-5	need	O	O	
4-6	to	O	O	
4-7	prove	B-UnrelEv	O	
4-8	who	O	O	
4-9	you	O	B-ScrPart_customer	
4-10	are	B-UnrelEv	O	
4-11	and	O	O	
4-12	where	O	O	
4-13	you	O	B-ScrPart_customer	
4-14	live	B-UnrelEv	O	
4-15	.	O	O	

#id=5
#text=Your drivers license will probably work for that .
5-1	Your	O	B-ScrPart_customer	
5-2	drivers	O	B-NPart	
5-3	license	O	I-NPart|B-NPart	
5-4	will	O	O	
5-5	probably	O	O	
5-6	work	B-UnrelEv	O	
5-7	for	O	O	
5-8	that	O	O	
5-9	.	O	O	

#id=6
#text=Go to your local library and get a card .
6-1	Go	B-ScrEv_get_library	O	
6-2	to	O	O	
6-3	your	O	B-ScrPart_customer	
6-4	local	O	O	
6-5	library	O	B-ScrPart_library	
6-6	and	O	O	
6-7	get	B-RelNScrEv	O	
6-8	a	O	O	
6-9	card	O	B-ScrPart_library_card	
6-10	.	O	O	

#id=7
#text=Once you have done that , you are ready to check things out !
7-1	Once	O	O	
7-2	you	O	B-ScrPart_customer	
7-3	have	O	O	
7-4	done	B-UnrelEv	O	
7-5	that	O	O	
7-6	,	O	O	
7-7	you	O	B-ScrPart_customer	
7-8	are	O	O	
7-9	ready	O	O	
7-10	to	O	O	
7-11	check	B-ScrEv_register	O	
7-12	things	O	B-ScrPart_book	
7-13	out	O	O	
7-14	!	O	O	

#id=8
#text=The library is divided into different categories .
8-1	The	O	O	
8-2	library	O	B-ScrPart_library	
8-3	is	O	O	
8-4	divided	B-UnrelEv	O	
8-5	into	O	O	
8-6	different	O	O	
8-7	categories	O	B-ScrPart_location_library	
8-8	.	O	O	

#id=9
#text=One area will be fiction , which is also occasionally broken down into smaller departments .
9-1	One	O	O	
9-2	area	O	B-ScrPart_location_library	
9-3	will	O	O	
9-4	be	B-UnrelEv	O	
9-5	fiction	O	B-ScrPart_location_library	
9-6	,	O	O	
9-7	which	O	O	
9-8	is	O	O	
9-9	also	O	O	
9-10	occasionally	O	O	
9-11	broken	B-UnrelEv	O	
9-12	down	O	O	
9-13	into	O	O	
9-14	smaller	O	O	
9-15	departments	O	B-ScrPart_location_library	
9-16	.	O	O	

#id=10
#text=Non-fiction is divided by the type of book .
10-1	Non-fiction	O	B-ScrPart_location_library	
10-2	is	O	O	
10-3	divided	B-UnrelEv	O	
10-4	by	O	O	
10-5	the	O	O	
10-6	type	O	B-Head_of_Partitive	
10-7	of	O	O	
10-8	book	O	B-ScrPart_book	
10-9	.	O	O	

#id=11
#text=There is reference , gardening , crafting , home repair , history , science , cooking , parenting , and any other subject you can imagine .
11-1	There	O	O	
11-2	is	B-UnrelEv	O	
11-3	reference	O	B-NPart	
11-4	,	O	O	
11-5	gardening	O	B-NPart	
11-6	,	O	O	
11-7	crafting	O	B-NPart	
11-8	,	O	O	
11-9	home	O	O	
11-10	repair	O	B-NPart	
11-11	,	O	O	
11-12	history	O	B-NPart	
