 # webanno.custom.Participants | Participant # webanno.custom.Events | Events # webanno.custom.Corefchains | Coref | AttachTo=webanno.custom.Participants
#id=1
#text=My yard was very bare and plain-looking so I decided to add some trees to the landscape .
1-1	My	B-ScrPart_gardener	O	_	_	
1-2	yard	B-NPart	O	_	_	
1-3	was	O	B-UnrelEv	_	_	
1-4	very	O	O	_	_	
1-5	bare	O	O	_	_	
1-6	and	O	O	_	_	
1-7	plain-looking	O	B-UnrelEv	_	_	
1-8	so	O	O	_	_	
1-9	I	B-ScrPart_gardener	O	_	_	
1-10	decided	O	B-UnrelEv	_	_	
1-11	to	O	O	_	_	
1-12	add	O	B-UnrelEv	_	_	
1-13	some	O	O	_	_	
1-14	trees	B-ScrPart_tree	O	_	_	
1-15	to	O	O	_	_	
1-16	the	O	O	_	_	
1-17	landscape	B-NPart	O	_	_	
1-18	.	O	O	_	_	

#id=2
#text=First , I went to the local nursery and asked them for advice on what kinds of trees would do well in my area , level of sunlight , amount of precipitation , etc .
2-1	First	O	O	_	_	
2-2	,	O	O	_	_	
2-3	I	B-ScrPart_gardener	O	_	_	
2-4	went	O	B-RelNScrEv	_	_	
2-5	to	O	O	_	_	
2-6	the	O	O	_	_	
2-7	local	O	O	_	_	
2-8	nursery	B-ScrPart_shop	O	_	_	
2-9	and	O	O	_	_	
2-10	asked	O	B-RelNScrEv	_	_	
2-11	them	B-ScrPart_staff	O	_	_	
2-12	for	O	O	_	_	
2-13	advice	B-SuppVComp	O	_	_	
2-14	on	O	O	_	_	
2-15	what	O	O	_	_	
2-16	kinds	B-NPart	O	_	_	
2-17	of	O	O	_	_	
2-18	trees	B-ScrPart_tree	O	_	_	
2-19	would	O	O	_	_	
2-20	do	O	B-UnrelEv	_	_	
2-21	well	O	O	_	_	
2-22	in	O	O	_	_	
2-23	my	B-ScrPart_gardener	O	_	_	
2-24	area	B-NPart	O	_	_	
2-25	,	O	O	_	_	
2-26	level	B-NPart	O	_	_	
2-27	of	O	O	_	_	
2-28	sunlight	B-NPart	O	_	_	
2-29	,	O	O	_	_	
2-30	amount	B-Head_of_Partitive	O	_	_	
2-31	of	O	O	_	_	
2-32	precipitation	B-NPart	O	_	_	
2-33	,	O	O	_	_	
2-34	etc	O	O	_	_	
2-35	.	O	O	_	_	

#id=3
#text=They gave me some ideas and I picked out a Bradford pear tree sapling .
3-1	They	B-ScrPart_staff	O	_	_	
