 # webanno.custom.Participants | Participant # webanno.custom.Events | Events
#id=1
#text=I decided one day to plant a tree in my front yard .
1-1	I	B-ScrPart_gardener	O	
1-2	decided	O	B-UnrelEv	
1-3	one	O	O	
1-4	day	B-No_label	O	
1-5	to	O	O	
1-6	plant	O	B-Evoking	
1-7	a	O	I-Evoking	
1-8	tree	B-ScrPart_tree	I-Evoking	
1-9	in	O	O	
1-10	my	B-ScrPart_gardener	O	
1-11	front	B-ScrPart_location_garden	O	
1-12	yard	I-ScrPart_location_garden|B-ScrPart_location_garden	O	
1-13	.	O	O	

#id=2
#text=I was unsure of what sort of tree I should plant so I went online and did research as to which type of tree would be best for my situation .
2-1	I	B-ScrPart_gardener	O	
2-2	was	O	B-UnrelEv	
2-3	unsure	O	O	
2-4	of	O	O	
2-5	what	O	O	
2-6	sort	B-Head_of_Partitive	O	
2-7	of	O	O	
2-8	tree	B-ScrPart_tree	O	
2-9	I	B-ScrPart_gardener	O	
2-10	should	O	O	
2-11	plant	O	B-Evoking	
2-12	so	O	O	
2-13	I	B-ScrPart_gardener	O	
2-14	went	O	B-UnrelEv	
2-15	online	O	O	
2-16	and	O	O	
2-17	did	O	B-UnrelEv	
2-18	research	B-NPart	O	
2-19	as	O	O	
2-20	to	O	O	
2-21	which	O	O	
2-22	type	B-Head_of_Partitive	O	
2-23	of	O	O	
2-24	tree	B-ScrPart_tree	O	
2-25	would	O	O	
2-26	be	O	B-UnrelEv	
2-27	best	O	O	
2-28	for	O	O	
2-29	my	B-ScrPart_gardener	O	
2-30	situation	B-NPart	O	
2-31	.	O	O	

#id=3
#text=I settled on a magnificent Norway Pine , as it is common in Northern Minnesota .
3-1	I	B-ScrPart_gardener	O	
3-2	settled	O	B-ScrEv_choose_tree	
3-3	on	O	O	
3-4	a	O	O	
3-5	magnificent	O	O	
3-6	Norway	B-ScrPart_tree	O	
3-7	Pine	I-ScrPart_tree|B-ScrPart_tree	O	
3-8	,	O	O	
3-9	as	O	O	
3-10	it	B-ScrPart_tree	O	
3-11	is	O	B-UnrelEv	
3-12	common	O	O	
3-13	in	O	O	
3-14	Northern	O	O	
3-15	Minnesota	B-NPart	O	
3-16	.	O	O	

#id=4
#text=I went out to my nearest greenhouse , which I found via Google Maps , and asked them where they kept their saplings -LRB- as I had read that this is how one should plant a tree -RRB- .
4-1	I	B-ScrPart_gardener	O	
4-2	went	O	B-RelNScrEv	
4-3	out	O	I-RelNScrEv	
4-4	to	O	O	
4-5	my	B-ScrPart_gardener	O	
4-6	nearest	O	O	
4-7	greenhouse	B-ScrPart_shop	O	
4-8	,	O	O	
4-9	which	B-ScrPart_shop	O	
4-10	I	B-ScrPart_gardener	O	
4-11	found	O	B-UnrelEv	
4-12	via	O	O	
4-13	Google	B-NPart	O	
4-14	Maps	I-NPart	O	
4-15	,	O	O	
4-16	and	O	O	
4-17	asked	O	B-RelNScrEv	
4-18	them	B-ScrPart_staff	O	
4-19	where	O	O	
4-20	they	B-ScrPart_staff	O	
4-21	kept	O	B-RelNScrEv	
4-22	their	B-ScrPart_staff	O	
4-23	saplings	B-ScrPart_tree	O	
4-24	-LRB-	O	O	
4-25	as	O	O	
4-26	I	B-ScrPart_gardener	O	
4-27	had	O	O	
4-28	read	O	B-UnrelEv	
4-29	that	O	O	
4-30	this	O	O	
4-31	is	O	B-UnrelEv	
4-32	how	O	O	
4-33	one	B-ScrPart_gardener	O	
4-34	should	O	O	
4-35	plant	O	B-Evoking	
4-36	a	O	I-Evoking	
4-37	tree	B-ScrPart_tree	I-Evoking	
4-38	-RRB-	O	O	
4-39	.	O	O	

#id=5
#text=I got the sapling and brought it home with me .
5-1	I	B-ScrPart_gardener	O	
5-2	got	O	B-ScrEv_get_tree	
5-3	the	O	O	
5-4	sapling	B-ScrPart_tree	O	
5-5	and	O	O	
5-6	brought	O	B-ScrEv_take_home	
5-7	it	B-ScrPart_tree	O	
5-8	home	B-NPart	O	
5-9	with	O	O	
5-10	me	B-ScrPart_gardener	O	
5-11	.	O	O	

#id=6
#text=It was only six inches high but I knew I could make it grow tall and strong .
6-1	It	B-ScrPart_tree	O	
6-2	was	O	B-UnrelEv	
6-3	only	O	O	
6-4	six	O	O	
6-5	inches	B-NPart	O	
6-6	high	O	O	
6-7	but	O	O	
6-8	I	B-ScrPart_gardener	O	
6-9	knew	O	B-UnrelEv	
6-10	I	B-ScrPart_gardener	O	
6-11	could	O	O	
6-12	make	O	B-UnrelEv	
6-13	it	B-ScrPart_tree	O	
6-14	grow	O	B-RelNScrEv	
6-15	tall	O	O	
6-16	and	O	O	
6-17	strong	O	O	
6-18	.	O	O	

#id=7
#text=I grabbed a shovel and started to dig , one small hole the size of the pot the sapling was in .
7-1	I	B-ScrPart_gardener	O	
7-2	grabbed	O	B-ScrEv_get_tools	
7-3	a	O	O	
7-4	shovel	B-ScrPart_gardening_tool	O	
7-5	and	O	O	
7-6	started	O	B-UnrelEv	
7-7	to	O	O	
7-8	dig	O	B-ScrEv_dug_hole	
7-9	,	O	O	
7-10	one	O	O	
7-11	small	O	O	
7-12	hole	B-ScrPart_hole	O	
7-13	the	O	O	
7-14	size	B-NPart	O	
7-15	of	O	O	
7-16	the	O	O	
7-17	pot	B-ScrPart_wrapping	O	
7-18	the	O	O	
7-19	sapling	B-ScrPart_tree	O	
7-20	was	O	B-UnrelEv	
7-21	in	O	O	
7-22	.	O	O	

#id=8
#text=I carefully took the sapling out of the pot and placed it into the freshly dug hole .
8-1	I	B-ScrPart_gardener	O	
8-2	carefully	O	O	
8-3	took	O	B-ScrEv_unwrap_root	
8-4	the	O	O	
8-5	sapling	B-ScrPart_tree	O	
8-6	out	O	O	
8-7	of	O	O	
8-8	the	O	O	
8-9	pot	B-ScrPart_wrapping	O	
8-10	and	O	O	
8-11	placed	O	B-ScrEv_place_root	
8-12	it	B-ScrPart_tree	O	
8-13	into	O	O	
8-14	the	O	O	
8-15	freshly	O	O	
8-16	dug	O	B-ScrEv_dug_hole	
8-17	hole	B-ScrPart_hole	O	
8-18	.	O	O	

#id=9
#text=Filling in the empty parts of the hole with extra dirt , I marveled at my creation .
9-1	Filling	O	B-ScrEv_refill_hole	
9-2	in	O	I-ScrEv_refill_hole	
9-3	the	O	O	
9-4	empty	O	O	
9-5	parts	B-NPart	O	
9-6	of	O	O	
9-7	the	O	O	
9-8	hole	B-ScrPart_hole	O	
9-9	with	O	O	
9-10	extra	O	O	
9-11	dirt	B-ScrPart_dirt	O	
9-12	,	O	O	
9-13	I	B-ScrPart_gardener	O	
9-14	marveled	O	B-UnrelEv	
9-15	at	O	O	
9-16	my	B-ScrPart_gardener	O	
9-17	creation	B-NPart	O	
9-18	.	O	O	

#id=10
#text=That was the day I planted a tree in my front yard . 
10-1	That	O	O	
10-2	was	O	B-UnrelEv	
10-3	the	O	O	
10-4	day	B-ScrPart_time	O	
10-5	I	B-ScrPart_gardener	O	
10-6	planted	O	B-Evoking	
10-7	a	O	I-Evoking	
10-8	tree	B-ScrPart_tree	I-Evoking	
10-9	in	O	O	
10-10	my	B-ScrPart_gardener	O	
10-11	front	B-ScrPart_location_garden	O	
10-12	yard	I-ScrPart_location_garden|B-ScrPart_location_garden	O	
10-13	.	O	O	

